file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,49,css,c9f761cf,terantaon,2025-10-17,21:43:49,-07:00,2025-10-17T21:43:49-07:00,1,0
style.css,50,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,4
style.css,51,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,12
style.css,52,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,30
style.css,53,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,7
style.css,54,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,55,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,5
style.css,56,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,12
style.css,57,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,29
style.css,58,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,18
style.css,59,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,60,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,5
style.css,61,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,12
style.css,62,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,63,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,8
style.css,64,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,12
style.css,65,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,66,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,6
style.css,67,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,12
style.css,68,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,18
style.css,69,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,70,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,9
style.css,71,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,12
style.css,72,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,58
style.css,73,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,7
style.css,74,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,26
style.css,75,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,15
style.css,76,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,7
style.css,77,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,2
style.css,78,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,4,8
style.css,79,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,3,0
style.css,80,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,0
style.css,81,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,82,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,3
style.css,83,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,15
style.css,84,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,11
style.css,85,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,86,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,2
style.css,87,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,13
style.css,88,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,15
style.css,89,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,17
style.css,90,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,91,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,2
style.css,92,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,15
style.css,93,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,15
style.css,94,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,17
style.css,95,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,96,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,2
style.css,97,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,15
style.css,98,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,23
style.css,99,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,15
style.css,100,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,17
style.css,101,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,102,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,1,7
style.css,103,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,2,15
style.css,104,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,2,10
style.css,105,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,2,18
style.css,106,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,1,0
style.css,107,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,1,2
style.css,108,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,2,11
style.css,109,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,2,40
style.css,110,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,2,13
style.css,111,css,9710fe5e,terantaon,2025-10-10,23:28:40,-07:00,2025-10-10T23:28:40-07:00,1,0
style.css,112,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,2
style.css,113,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,26
style.css,114,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,115,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,2
style.css,116,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,19
style.css,117,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,118,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,4
style.css,119,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,24
style.css,120,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,2,16
style.css,121,css,593ace94,terantaon,2025-10-10,22:54:19,-07:00,2025-10-10T22:54:19-07:00,1,0
style.css,122,css,675dc85c,terantaon,2025-10-31,23:40:08,-07:00,2025-10-31T23:40:08-07:00,1,14
style.css,123,css,ef386f0a,terantaon,2025-10-31,22:21:45,-07:00,2025-10-31T22:21:45-07:00,1,14
style.css,124,css,ef386f0a,terantaon,2025-10-31,22:21:45,-07:00,2025-10-31T22:21:45-07:00,1,16
style.css,125,css,ef386f0a,terantaon,2025-10-31,22:21:45,-07:00,2025-10-31T22:21:45-07:00,0,0
style.css,126,css,ef386f0a,terantaon,2025-10-31,22:21:45,-07:00,2025-10-31T22:21:45-07:00,1,16
style.css,127,css,ef386f0a,terantaon,2025-10-31,22:21:45,-07:00,2025-10-31T22:21:45-07:00,1,0
style.css,128,css,e3490785,terantaon,2025-10-31,23:51:59,-07:00,2025-10-31T23:51:59-07:00,1,10
style.css,129,css,e3490785,terantaon,2025-10-31,23:51:59,-07:00,2025-10-31T23:51:59-07:00,2,12
style.css,130,css,e3490785,terantaon,2025-10-31,23:51:59,-07:00,2025-10-31T23:51:59-07:00,1,0
style.css,131,css,fb259aba,terantaon,2025-10-31,22:56:33,-07:00,2025-10-31T22:56:33-07:00,1,7
style.css,132,css,34f137ab,terantaon,2025-10-31,23:00:31,-07:00,2025-10-31T23:00:31-07:00,2,6
style.css,133,css,fb259aba,terantaon,2025-10-31,22:56:33,-07:00,2025-10-31T22:56:33-07:00,2,12
style.css,134,css,fb259aba,terantaon,2025-10-31,22:56:33,-07:00,2025-10-31T22:56:33-07:00,2,57
style.css,135,css,fb259aba,terantaon,2025-10-31,22:56:33,-07:00,2025-10-31T22:56:33-07:00,2,7
style.css,136,css,264838cc,terantaon,2025-11-01,00:03:38,-07:00,2025-11-01T00:03:38-07:00,2,35
style.css,137,css,264838cc,terantaon,2025-11-01,00:03:38,-07:00,2025-11-01T00:03:38-07:00,2,19
style.css,138,css,fb259aba,terantaon,2025-10-31,22:56:33,-07:00,2025-10-31T22:56:33-07:00,1,0
style.css,139,css,e3490785,terantaon,2025-10-31,23:51:59,-07:00,2025-10-31T23:51:59-07:00,1,5
style.css,140,css,34f137ab,terantaon,2025-10-31,23:00:31,-07:00,2025-10-31T23:00:31-07:00,2,12
style.css,141,css,e3490785,terantaon,2025-10-31,23:51:59,-07:00,2025-10-31T23:51:59-07:00,2,18
style.css,142,css,e3490785,terantaon,2025-10-31,23:51:59,-07:00,2025-10-31T23:51:59-07:00,2,9
style.css,143,css,34f137ab,terantaon,2025-10-31,23:00:31,-07:00,2025-10-31T23:00:31-07:00,1,0
style.css,144,css,ab041d86,terantaon,2025-10-31,23:57:43,-07:00,2025-10-31T23:57:43-07:00,1,7
style.css,145,css,ab041d86,terantaon,2025-10-31,23:57:43,-07:00,2025-10-31T23:57:43-07:00,2,20
style.css,146,css,ab041d86,terantaon,2025-10-31,23:57:43,-07:00,2025-10-31T23:57:43-07:00,2,9
style.css,147,css,ab041d86,terantaon,2025-10-31,23:57:43,-07:00,2025-10-31T23:57:43-07:00,2,10
style.css,148,css,ab041d86,terantaon,2025-10-31,23:57:43,-07:00,2025-10-31T23:57:43-07:00,2,29
style.css,149,css,ab041d86,terantaon,2025-10-31,23:57:43,-07:00,2025-10-31T23:57:43-07:00,2,17
style.css,150,css,ab041d86,terantaon,2025-10-31,23:57:43,-07:00,2025-10-31T23:57:43-07:00,1,0
style.css,151,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,1,17
style.css,152,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,2,16
style.css,153,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,3,11
style.css,154,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,2,0
style.css,155,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,1,0
style.css,156,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,1,4
style.css,157,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,2,16
style.css,158,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,2,14
style.css,159,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,1,0
style.css,160,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,1,9
style.css,161,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,2,35
style.css,162,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,0,0
style.css,163,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,2,10
style.css,164,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,3,17
style.css,165,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,2,0
style.css,166,css,000f7fec,terantaon,2025-11-01,11:52:44,-07:00,2025-11-01T11:52:44-07:00,1,0
style.css,167,css,a56125e2,terantaon,2025-11-01,22:42:33,-07:00,2025-11-01T22:42:33-07:00,1,13
style.css,168,css,a56125e2,terantaon,2025-11-01,22:42:33,-07:00,2025-11-01T22:42:33-07:00,2,35
style.css,169,css,a56125e2,terantaon,2025-11-01,22:42:33,-07:00,2025-11-01T22:42:33-07:00,2,0
style.css,170,css,a56125e2,terantaon,2025-11-01,22:42:33,-07:00,2025-11-01T22:42:33-07:00,2,12
style.css,171,css,a56125e2,terantaon,2025-11-01,22:42:33,-07:00,2025-11-01T22:42:33-07:00,2,18
style.css,172,css,a56125e2,terantaon,2025-11-01,22:42:33,-07:00,2025-11-01T22:42:33-07:00,2,9
style.css,173,css,a56125e2,terantaon,2025-11-01,22:42:33,-07:00,2025-11-01T22:42:33-07:00,1,0
style.css,174,css,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,0,0
resume.html,1,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,0,13
resume.html,2,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,0,14
resume.html,3,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,0,4
resume.html,4,html,f9ca9212,terantaon,2025-10-17,16:37:04,-07:00,2025-10-17T16:37:04-07:00,2,45
resume.html,5,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,2,38
resume.html,6,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,2,20
resume.html,7,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,2,68
resume.html,8,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,2,19
resume.html,9,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,0,5
resume.html,10,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,0,4
resume.html,11,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,2,7
resume.html,12,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,4,17
resume.html,13,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,4,1
resume.html,14,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,6,32
resume.html,15,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,4,2
resume.html,16,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,2,8
resume.html,17,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,2,2
resume.html,18,html,d3437527,terantaon,2025-10-03,18:07:25,-07:00,2025-10-03T18:07:25-07:00,2,7
resume.html,19,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,4,14
resume.html,20,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,4,1
resume.html,21,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,6,119
resume.html,22,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,6,126
resume.html,23,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,6,118
resume.html,24,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,6,45
resume.html,25,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,4,2
resume.html,26,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,2,8
resume.html,27,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,2,2
resume.html,28,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,2,7
resume.html,29,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,4,16
resume.html,30,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,4,33
resume.html,31,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,4,70
resume.html,32,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,4,2
resume.html,33,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,6,15
resume.html,34,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,6,28
resume.html,35,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,6,61
resume.html,36,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,4,3
resume.html,37,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,2,8
resume.html,38,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,2,2
resume.html,39,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,2,7
resume.html,40,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,4,7
resume.html,41,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,6,28
resume.html,42,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,6,7
resume.html,43,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,8,33
resume.html,44,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,8,73
resume.html,45,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,8,2
resume.html,46,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,10,116
resume.html,47,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,10,43
resume.html,48,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,10,68
resume.html,49,html,39168e66,terantaon,2025-10-03,22:25:27,-07:00,2025-10-03T22:25:27-07:00,10,61
